DistanceToCenter,Total,Living,Kitchen,Repair,RoomsNumber,FurnitureExistence,FloorNumber,Year,NumberOfFloors,RoofType,BuildingType,OverlappingsType,MaterialWalls,PowerСlass,Chute,Playground,Sportsground,PowerSupply,ColdWaterSupply,HotWaterSupply,HeatSupply,GasSupply,WaterDisposal,FireSystem,Id,Adress,Region,City,District,Street,House,Latitude,Longitude,Cost
6516.690045,65,40,10,,3,False,4,,9,,,,,,False,False,False,,,,,,,False,82," Иваново,  Ленинский район, ДСК мкр,5",Ивановская область, Иваново, Ленинский, ДСК мкр,5,56.954598,41.0451117,2100000
4163.543373,32,21,7,,1,False,1,1977,9,2,,3,5,,False,True,False,,,,,,,False,129," Иваново,  Ленинский район, Шубиных ул,1",Ивановская область, Иваново, Ленинский, Шубиных ,1,56.964283,41.0040261,1400000
1204.573849,58,38,6,,3,False,5,1973,5,2,,3,5,,False,True,False,,,,,,,False,83," Иваново,  Ленинский район, Поэта Ноздрина ул,11",Ивановская область, Иваново, Ленинский, Поэта Ноздрина ,11,57.000449,40.990356,2450000
1860.578578,41,28,7,,2,False,1,1962,5,1,,1,5,,False,True,False,,,,,,,False,84," Иваново,  Октябрьский район, 9 Января ул,11",Ивановская область, Иваново, Октябрьский, 9 Января ,11,57.013737,40.9759072,1800000
2551.102824,40,27,6,,2,False,5,,5,,,,,,False,False,False,,,,,,,False,85," Иваново,  Фрунзенский район, Парижской Коммуны ул",Ивановская область, Иваново, Фрунзенский, Парижской Коммуны ул,,56.9996062,40.9295462,1420000
2978.418196,76,32,22,,3,False,14,1997,14,2,,3,5,,False,True,False,,,,,,,False,86," Иваново,  Советский район, Новая ул,15",Ивановская область, Иваново, Советский, Новая ,15,56.9886814,41.0179734,2180000
4787.853316,59,42,6,,3,False,4,,5,,,,,,False,False,False,,,,,,,False,87," Иваново,  Ленинский район, Текстильщиков пр-кт,9а",Ивановская область, Иваново, Ленинский, Текстильщиков пр-кт,9а,56.960454,41.0124549,2550000
4817.732183,49,35,6,,2,False,1,,5,,,,,,False,False,False,,,,,,,False,88," Иваново,  Октябрьский район, Ключевая 2-я ул",Ивановская область, Иваново, Октябрьский, Ключевая 2-я ул,,57.0329639,40.9265978,2300000
2891.385108,44,28,6,,2,False,5,1961,5,1,,3,5,,False,True,False,,,,,,,False,89," Иваново,  Ленинский район, Лежневская ул,132",Ивановская область, Иваново, Ленинский, Лежневская ,132,56.971236,40.9730951,1700000
1939.489155,99,52,29,,4,False,5,1954,5,1,,3,5,,False,True,False,,,,,,,False,90," Иваново,  Октябрьский район, Калинина ул,10",Ивановская область, Иваново, Октябрьский, Калинина ,10,57.014601,40.9731542,4500000
4817.732183,49,35,6,,2,False,1,,5,,,,,,False,False,False,,,,,,,False,91," Иваново,  Октябрьский район, Ключевая 2-я ул",Ивановская область, Иваново, Октябрьский, Ключевая 2-я ул,,57.0329639,40.9265978,2300000
2113.616884,41,20,11,,1,False,11,,17,,,,,,False,False,False,,,,,,,False,92," Иваново,  Октябрьский район, Карла Маркса ул,4,корп.а",Ивановская область, Иваново, Октябрьский, Карла Маркса ,4,57.0161915,40.9716018,2300000
2815.577747,26,13,6,,1,False,2,1917,3,1,,1,5,,False,True,False,,,,,,,False,93," Иваново,  Октябрьский район, Ермака ул,47",Ивановская область, Иваново, Октябрьский, Ермака ,47,57.020274,40.952346,1060000
1438.256293,32,17,6,,1,False,5,1965,5,1,,3,5,,False,True,False,,,,,,,False,94," Иваново,  Октябрьский район, Дунаева ул,42",Ивановская область, Иваново, Октябрьский, Дунаева ,42,57.007352,40.9860839,1540000
1875.805651,34,26,5,,2,False,3,1930,5,1,,1,1,,False,True,False,,,,,,,False,95," Иваново,  Октябрьский район, Октябрьская ул,3/70",Ивановская область, Иваново, Октябрьский, Октябрьская ,Mar-70,57.0135197,40.9791383,1240000
3119.087805,37,16,10,,1,False,3,2015,14,2,,3,5,,True,True,False,,,,,,,False,96," Иваново,  Ленинский район, Чапаева 2-я ул,40А",Ивановская область, Иваново, Ленинский, Чапаева 2-я ,40А,56.9748045,41.0023263,1750000
4315.673061,45,29,6,,2,False,1,1978,5,2,,3,5,,False,True,False,,,,,,,False,97," Иваново,  Октябрьский район, Минская 2-я ул,5",Ивановская область, Иваново, Октябрьский, Минская 2-я ,5,57.033578,40.946729,1550000
1502.8572,73,43,9,,3,False,8,2016,9,2,,3,6,,True,True,False,,,,,,,False,98," Иваново,  Ленинский район, Садовая ул,63",Ивановская область, Иваново, Ленинский, Садовая ,63,56.996172,40.99612,4470000
1534.111126,43,16,9,,1,False,3,,9,,,,,,False,False,False,,,,,,,False,99," Иваново,  Ленинский район, Сакко ул,37а",Ивановская область, Иваново, Ленинский, Сакко ,37а,56.998694,40.9965593,1950000
4102.881906,39,24,6,,2,False,4,,5,,,,,,False,False,False,,,,,,,False,100," Иваново,  Ленинский район, Строителей пр-кт,34",Ивановская область, Иваново, Ленинский, Строителей пр-кт,34,56.961955,40.9912419,2200000
5154.093454,51,34,6,,2,False,3,1973,5,2,,3,4,,False,True,False,,,,,,,False,101," Иваново,  Ленинский район, Шубиных ул,31Б",Ивановская область, Иваново, Ленинский, Шубиных ,31Б,56.9571709,41.0141376,1790000
2857.73596,79,41,12,,3,False,8,,15,,,,,,False,False,False,,,,,,,False,102," Иваново,  Фрунзенский район, Воронина ул,5А",Ивановская область, Иваново, Фрунзенский, Воронина ,5А,56.971523,40.9709699,3331000
