totalArea,floorNumber,floorsTotal,wallsMaterial,latitude,longitude,price
31,3,5,5,57.028348,40.9870983,1290000
32,5,5,,56.972405,41.000924,1290000
36,1,5,,56.9563534,41.039642,1292000
35,1,5,,56.9563534,41.039642,1292000
32,2,5,,56.9563534,41.039642,1294000
34,2,5,,56.9563534,41.039642,1296000
26,5,5,,56.9563534,41.039642,1296000
37,5,8,,57.001397,40.935546,1298000
43,3,3,5,56.9809154,41.0385807,1299000
30,5,5,,57.008448,40.9929209,1300000
30,2,5,5,56.9667595,40.978959,1300000
33,1,5,5,57.0078832,41.0021501,1300000
31,1,5,,56.9594523,40.9988682,1300000
30,5,5,4,56.986781,41.033377,1300000
45,2,2,,57.030794,40.980659,1300000
32,3,5,,57.0459653,40.9465359,1300000
41,1,3,5,56.981338,41.038218,1300000
41,5,5,5,56.989298,40.996527,1300000
42,4,17,,56.9726955,41.0108145,1300000
45,2,2,,56.996018,41.0552408,1300000
31,4,5,4,56.958341,41.020754,1300000
30,1,5,,57.0150518,40.9842725,1300000
31,3,5,,56.964827,40.980993,1300000
39,1,17,,56.9726955,41.0108145,1300000
45,4,5,,56.9541191,41.1001183,1300000
33,1,5,,57.0410171,40.9427536,1300000
30,1,5,4,56.9655537,41.0141204,1300000
32,5,5,,56.9619734,40.9904753,1300000
38,1,5,5,57.0453204,40.9480145,1300000
31,3,5,,56.9865821,41.0340285,1300000
32,5,5,,57.020022,40.964068,1300000
30,3,5,4,56.987272,41.033933,1300000
40,1,2,5,57.017641,41.009804,1300000
37,1,5,,56.9521531,41.0536802,1300000
31,3,5,,56.9649768,41.0043836,1300000
31,5,5,,56.9678182,41.0057936,1300000
30,1,5,5,57.015935,40.962223,1300000
30,4,5,,56.966821,40.962173,1300000
30,5,5,,56.960433,40.9957979,1300000
31,5,5,,56.989714,40.9330589,1300000
31,3,5,4,56.987534,41.032015,1300000
30,4,5,,56.966821,40.962173,1300000
30,1,5,,57.0150518,40.9842725,1300000
36,13,17,,56.9737395,40.9811957,1306000
36,3,8,,57.001397,40.935546,1308000
36,18,18,,56.967091,41.0208024,1309000
37,4,5,,56.9495534,41.0643706,1310000
31,3,5,,56.972107,41.0514929,1315000
